RequestTime, Features, ErrorCode
18897,12,0
18462,12,0
18125,12,0
19516,12,0
13391,12,0
15796,12,0
15826,12,0
18273,12,0
13221,12,0
13978,12,0
45114,12,0
13541,12,0
16248,12,0
19712,12,0
20743,12,0
15735,12,0
10449,12,0
21189,12,0
13103,12,0
18307,12,0
42006,12,0
15630,12,0
18865,12,0
15638,12,0
18297,12,0
14617,12,0
19487,12,0
11697,12,0
29445,12,0
19487,12,0
21969,12,0
32593,12,0
18919,12,0
12632,12,0
16335,12,0
18832,12,0
41909,12,0
14767,12,0
19166,12,0
18304,12,0
12673,12,0
12505,12,0
29502,12,0
19238,12,0
14759,12,0
19112,12,0
13741,12,0
18284,12,0
18282,12,0
15284,12,0
10613,12,0
20008,12,0
12431,12,0
13886,12,0
14656,12,0
12538,12,0
15595,12,0
13737,12,0
41624,12,0
15077,12,0
13180,12,0
10908,12,0
19711,12,0
17682,12,0
13067,12,0
21694,12,0
16150,12,0
14606,12,0
14301,12,0
16251,12,0
14867,12,0
16233,12,0
18870,12,0
18144,12,0
13191,12,0
18315,12,0
19706,12,0
19198,12,0
12440,12,0
19716,12,0
16287,12,0
12669,12,0
13280,12,0
15451,12,0
18879,12,0
19511,12,0
19489,12,0
19979,12,0
18912,12,0
16320,12,0
12733,12,0
13247,12,0
15108,12,0
11526,12,0
16311,12,0
15200,12,0
18291,12,0
19727,12,0
18057,12,0
15302,12,0
13249,12,0
10350,12,0
19814,12,0
13553,12,0
12300,12,0
20022,12,0
12657,12,0
12544,12,0
14769,12,0
18504,12,0
18555,12,0
13583,12,0
20899,12,0
10192,12,0
42228,12,0
12635,12,0
16801,12,0
18217,12,0
12906,12,0
15441,12,0
15298,12,0
18432,12,0
45091,12,0
21184,12,0
15050,12,0
45015,12,0
16734,12,0
10620,12,0
13029,12,0
18885,12,0
15679,12,0
19704,12,0
16210,12,0
19457,12,0
32637,12,0
12400,12,0
45033,12,0
14717,12,0
19148,12,0
18353,12,0
15748,12,0
13103,12,0
19122,12,0
19242,12,0
12639,12,0
12715,12,0
17019,12,0
13390,12,0
16193,12,0
13721,12,0
10902,12,0
14882,12,0
16910,12,0
12286,12,0
12732,12,0
18598,12,0
12297,12,0
13269,12,0
13189,12,0
18323,12,0
11554,12,0
12499,12,0
11748,12,0
14367,12,0
14294,12,0
18364,12,0
41951,12,0
44874,12,0
18350,12,0
13089,12,0
12669,12,0
15869,12,0
12449,12,0
16407,12,0
15262,12,0
18531,12,0
13477,12,0
45152,12,0
18229,12,0
13990,12,0
19150,12,0
19126,12,0
12720,12,0
14759,12,0
12919,12,0
32622,12,0
12277,12,0
18775,12,0
12633,12,0
13055,12,0
19510,12,0
13541,12,0
19003,12,0
17170,12,0
18230,12,0
12499,12,0
18185,12,0
20841,12,0
11916,12,0
19423,12,0
18276,12,0
19241,12,0
13059,12,0
13036,12,0
29470,12,0
18109,12,0
16788,12,0
13369,12,0
13775,12,0
13140,12,0
14660,12,0
15586,12,0
44876,12,0
18559,12,0
12634,12,0
18234,12,0
20036,12,0
18481,12,0
18280,12,0
13361,12,0
19504,12,0
19703,12,0
18878,12,0
12438,12,0
14530,12,0
18914,12,0
18576,12,0
14739,12,0
19337,12,0
44787,12,0
19919,12,0
19694,12,0
41969,12,0
19552,12,0
32631,12,0
21960,12,0
21201,12,0
45150,12,0
21159,12,0
14421,12,0
18336,12,0
18307,12,0
19467,12,0
18885,12,0
14842,12,0
21028,12,0
18320,12,0
18307,12,0
18899,12,0
18512,12,0
18101,12,0
19709,12,0
18813,12,0
12894,12,0
14569,12,0
19197,12,0
11796,12,0
18883,12,0
19397,12,0
12558,12,0
10591,12,0
19446,12,0
18314,12,0
18344,12,0
13422,12,0
10495,12,0
15275,12,0
29500,12,0
45014,12,0
19969,12,0
29471,12,0
41275,12,0
18892,12,0
16906,12,0
15256,12,0
19245,12,0
18051,12,0
12564,12,0
19185,12,0
18812,12,0
18926,12,0
14694,12,0
12937,12,0
14023,12,0
19259,12,0
19166,12,0
44910,12,0
13389,12,0
18068,12,0
13077,12,0
12442,12,0
19472,12,0
12537,12,0
15108,12,0
13119,12,0
44794,12,0
41864,12,0
14400,12,0
44899,12,0
16208,12,0
12731,12,0
19210,12,0
41350,12,0
21965,12,0
18295,12,0
18554,12,0
42137,12,0
15291,12,0
13390,12,0
15655,12,0
14646,12,0
13514,12,0
12629,12,0
15735,12,0
19736,12,0
19968,12,0
13726,12,0
11672,12,0
17113,12,0
19644,12,0
16332,12,0
17119,12,0
41986,12,0
19691,12,0
14631,12,0
11847,12,0
19619,12,0
13517,12,0
20031,12,0
18853,12,0
18990,12,0
32615,12,0
13972,12,0
13818,12,0
14721,12,0
13302,12,0
14682,12,0
14418,12,0
15498,12,0
18888,12,0
13540,12,0
14010,12,0
19794,12,0
18586,12,0
15862,12,0
18275,12,0
13473,12,0
13509,12,0
17226,12,0
18887,12,0
19233,12,0
19716,12,0
16172,12,0
19919,12,0
18897,12,0
19217,12,0
13749,12,0
19155,12,0
21124,12,0
45083,12,0
45018,12,0
14543,12,0
12564,12,0
16789,12,0
13762,12,0
10509,12,0
19882,12,0
18819,12,0
19838,12,0
15454,12,0
14874,12,0
19517,12,0
13030,12,0
18293,12,0
21213,12,0
13249,12,0
19963,12,0
18274,12,0
15832,12,0
13140,12,0
16794,12,0
19661,12,0
13104,12,0
18886,12,0
13848,12,0
41350,12,0
18821,12,0
15559,12,0
15819,12,0
12727,12,0
13371,12,0
10450,12,0
18095,12,0
15850,12,0
19205,12,0
12370,12,0
18371,12,0
14638,12,0
18285,12,0
20976,12,0
13339,12,0
42041,12,0
21006,12,0
13436,12,0
32618,12,0
14009,12,0
12273,12,0
19676,12,0
18912,12,0
13385,12,0
16160,12,0
10626,12,0
19500,12,0
12498,12,0
12428,12,0
45066,12,0
19898,12,0
15697,12,0
11767,12,0
19934,12,0
18884,12,0
14617,12,0
14823,12,0
18851,12,0
19711,12,0
19261,12,0
16256,12,0
44988,12,0
12667,12,0
13849,12,0
13301,12,0
19995,12,0
12733,12,0
13364,12,0
12728,12,0
13421,12,0
14713,12,0
19073,12,0
19286,12,0
15499,12,0
15847,12,0
18878,12,0
18878,12,0
13105,12,0
18279,12,0
18911,12,0
19170,12,0
18175,12,0
15244,12,0
14389,12,0
12696,12,0
14376,12,0
15881,12,0
14383,12,0
19484,12,0
14386,12,0
16336,12,0
13338,12,0
12810,12,0
18876,12,0
13314,12,0
15587,12,0
19711,12,0
15532,12,0
18842,12,0
13105,12,0
18312,12,0
14450,12,0
45043,12,0
10457,12,0
18075,12,0
13630,12,0
16797,12,0
12476,12,0
13273,12,0
11766,12,0
14562,12,0
19750,12,0
15692,12,0
16900,12,0
12550,12,0
16321,12,0
14881,12,0
19746,12,0
19353,12,0
16613,12,0
18226,12,0
21163,12,0
16253,12,0
12138,12,0
11861,12,0
12992,12,0
18313,12,0
15791,12,0
18869,12,0
12893,12,0
18242,12,0
14583,12,0
19737,12,0
16745,12,0
10156,12,0
18230,12,0
18867,12,0
18988,12,0
14614,12,0
16770,12,0
18634,12,0
12965,12,0
21291,12,0
12507,12,0
12635,12,0
14639,12,0
15838,12,0
20908,12,0
15364,12,0
19810,12,0
12142,12,0
13145,12,0
18500,12,0
21289,12,0
14707,12,0
16331,12,0
13402,12,0
16306,12,0
15479,12,0
20919,12,0
14642,12,0
11829,12,0
18845,12,0
18282,12,0
18873,12,0
42324,12,0
15671,12,0
16284,12,0
15625,12,0
13388,12,0
32589,12,0
14861,12,0
19070,12,0
18880,12,0
13217,12,0
18853,12,0
18289,12,0
13541,12,0
12279,12,0
15597,12,0
13616,12,0
12294,12,0
13393,12,0
10339,12,0
15114,12,0
18112,12,0
16889,12,0
19453,12,0
12311,12,0
16770,12,0
18084,12,0
16992,12,0
13138,12,0
19340,12,0
19523,12,0
16220,12,0
11899,12,0
20599,12,0
15859,12,0
16176,12,0
16129,12,0
14652,12,0
12722,12,0
19458,12,0
13002,12,0
18275,12,0
19514,12,0
19294,12,0
19263,12,0
17104,12,0
13453,12,0
18885,12,0
13093,12,0
13475,12,0
14828,12,0
19278,12,0
14760,12,0
42342,12,0
13091,12,0
11929,12,0
19716,12,0
14351,12,0
19490,12,0
15624,12,0
13519,12,0
15842,12,0
18269,12,0
44787,12,0
19467,12,0
18083,12,0
10398,12,0
18262,12,0
13211,12,0
41591,12,0
14593,12,0
19226,12,0
14503,12,0
20599,12,0
19725,12,0
14425,12,0
16540,12,0
12297,12,0
44915,12,0
19149,12,0
18779,12,0
18294,12,0
20729,12,0
16792,12,0
21009,12,0
45176,12,0
16315,12,0
16915,12,0
19747,12,0
19182,12,0
14626,12,0
10387,12,0
13053,12,0
18869,12,0
13258,12,0
16319,12,0
15862,12,0
18300,12,0
45153,12,0
15852,12,0
14901,12,0
21155,12,0
19727,12,0
18313,12,0
41266,12,0
18268,12,0
19192,12,0
13547,12,0
12724,12,0
13685,12,0
18300,12,0
16202,12,0
21215,12,0
20759,12,0
16315,12,0
18257,12,0
12473,12,0
15563,12,0
44869,12,0
18204,12,0
20791,12,0
18254,12,0
14863,12,0
19471,12,0
13539,12,0
14759,12,0
19275,12,0
13917,12,0
15818,12,0
18150,12,0
14386,12,0
18867,12,0
10495,12,0
10791,12,0
15841,12,0
16609,12,0
13383,12,0
20736,12,0
13400,12,0
13241,12,0
19319,12,0
45052,12,0
44920,12,0
12732,12,0
18592,12,0
12362,12,0
20759,12,0
29465,12,0
41563,12,0
14619,12,0
14732,12,0
20722,12,0
13071,12,0
12445,12,0
18321,12,0
13164,12,0
18292,12,0
19206,12,0
14753,12,0
18563,12,0
19356,12,0
18902,12,0
15825,12,0
13550,12,0
11847,12,0
14744,12,0
19114,12,0
19462,12,0
14863,12,0
15296,12,0
14783,12,0
18068,12,0
12775,12,0
13209,12,0
13269,12,0
32593,12,0
11879,12,0
15621,12,0
10587,12,0
12666,12,0
13994,12,0
18286,12,0
15566,12,0
14658,12,0
11855,12,0
12843,12,0
14753,12,0
13470,12,0
21192,12,0
16116,12,0
13254,12,0
12636,12,0
14598,12,0
18311,12,0
14594,12,0
11692,12,0
12784,12,0
19293,12,0
14773,12,0
19442,12,0
15828,12,0
14756,12,0
19179,12,0
18384,12,0
15289,12,0
41786,12,0
19706,12,0
39849,12,0
21016,12,0
19806,12,0
15808,12,0
14552,12,0
41652,12,0
10479,12,0
13371,12,0
15218,12,0
18619,12,0
19340,12,0
42054,12,0
13484,12,0
16795,12,0
19994,12,0
19156,12,0
15697,12,0
19711,12,0
12564,12,0
12477,12,0
18450,12,0
44802,12,0
13419,12,0
18929,12,0
13825,12,0
13252,12,0
13483,12,0
3704,12,0
19671,12,0
13246,12,0
16741,12,0
14703,12,0
14696,12,0
19671,12,0
13383,12,0
20748,12,0
19337,12,0
19166,12,0
12531,12,0
19717,12,0
13227,12,0
12218,12,0
41625,12,0
15925,12,0
14696,12,0
11823,12,0
45113,12,0
19427,12,0
14711,12,0
42068,12,0
15355,12,0
10141,12,0
14367,12,0
11723,12,0
10931,12,0
21223,12,0
13095,12,0
18354,12,0
16047,12,0
12698,12,0
18306,12,0
15417,12,0
18275,12,0
15938,12,0
9190,12,0
9449,12,0
9481,12,0
9182,12,0
9298,12,0
8916,12,0
9592,12,0
9142,12,0
9153,12,0
10127,12,0
9349,12,0
9446,12,0
9117,12,0
9348,12,0
9293,12,0
9623,12,0
10592,12,0
10653,12,0
9798,12,0
9153,12,0
10303,12,0
9107,12,0
10280,12,0
10071,12,0
8819,12,0
9493,12,0
9947,12,0
9945,12,0
9557,12,0
9909,12,0
9909,12,0
9376,12,0
9376,12,0
9829,12,0
8186,12,0
9828,12,0
8409,12,0
9829,12,0
8183,12,0
9373,12,0
9758,12,0
9758,12,0
9761,12,0
9543,12,0
9546,12,0
9521,12,0
10366,12,0
9407,12,0
10853,12,0
10366,12,0
9351,12,0
10428,12,0
10560,12,0
10286,12,0
10494,12,0
10593,12,0
10531,12,0
9173,12,0
10359,12,0
10422,12,0
9211,12,0
10493,12,0
10626,12,0
9227,12,0
10455,12,0
28581,12,0
28767,12,0
10482,12,0
9156,12,0
10554,12,0
9267,12,0
28510,12,0
9058,12,0
9154,12,0
32237,12,0
9152,12,0
31445,12,0
10413,12,0
23567,12,0
10597,12,0
10376,12,0
28394,12,0
8985,12,0
23459,12,0
31350,12,0
9398,12,0
31342,12,0
9251,12,0
31331,12,0
10483,12,0
9351,12,0
9538,12,0
28390,12,0
31329,12,0
10478,12,0
8956,12,0
9092,12,0
31282,12,0
31279,12,0
28326,12,0
31270,12,0
31274,12,0
9267,12,0
31269,12,0
28318,12,0
9344,12,0
31268,12,0
31268,12,0
9172,12,0
31195,12,0
28352,12,0
28216,12,0
31147,12,0
9120,12,0
31100,12,0
31075,12,0
10177,12,0
32224,12,0
31036,12,0
10948,12,0
10655,12,0
8858,12,0
11115,12,0
10577,12,0
10577,12,0
11116,12,0
11116,12,0
8840,12,0
10568,12,0
11106,12,0
10843,12,0
10537,12,0
29235,12,0
10830,12,0
10792,12,0
11034,12,0
10493,12,0
11033,12,0
11031,12,0
8835,12,0
10480,12,0
29476,12,0
32010,12,0
9100,12,0
32124,12,0
9096,12,0
9100,12,0
10753,12,0
31982,12,0
31938,12,0
29311,12,0
31940,12,0
31939,12,0
29306,12,0
31938,12,0
32045,12,0
8920,12,0
31989,12,0
8999,12,0
31971,12,0
16033,12,0
8974,12,0
16011,12,0
31888,12,0
31996,12,0
10877,12,0
31907,12,0
31875,12,0
31907,12,0
29183,12,0
15952,12,0
8894,12,0
29180,12,0
31810,12,0
31866,12,0
31801,12,0
29377,12,0
31805,12,0
