RequestTime, Features, ErrorCode
20034,12,0
16111,12,0
18939,12,0
21801,12,0
21189,12,0
15681,12,0
20289,12,0
21795,0,2
21245,12,0
18869,12,0
13324,12,0
18850,12,0
18960,12,0
21178,12,0
18925,12,0
22050,12,0
21208,12,0
17929,12,0
21704,12,0
21141,12,0
18997,12,0
18967,12,0
21774,12,0
11274,12,0
20248,12,0
21248,12,0
21202,12,0
20494,12,0
22023,12,0
19772,12,0
19408,0,2
21794,12,0
21139,12,0
22041,12,0
12720,12,0
21999,12,0
22023,12,0
21797,12,0
13248,12,0
19681,12,0
21974,12,0
16642,12,0
22037,12,0
21208,12,0
22037,12,0
22018,12,0
19783,12,0
20010,12,0
13399,12,0
21111,12,0
19328,12,0
21235,12,0
22018,0,2
19763,12,0
20044,12,0
18976,12,0
19859,0,2
21236,12,0
18885,12,0
19347,12,0
17083,12,0
17289,12,0
21227,12,0
18951,12,0
21162,12,0
21150,12,0
18991,12,0
22027,12,0
21766,0,2
21766,0,2
19647,12,0
13404,12,0
21989,12,0
21103,12,0
18926,12,0
22042,12,0
19253,12,0
19392,0,2
19294,12,0
21161,12,0
20052,12,0
22022,12,0
18904,12,0
18931,12,0
22009,12,0
6478,12,0
21973,12,0
21235,12,0
21216,12,0
21960,12,0
18912,12,0
12718,12,0
12709,12,0
22076,12,0
17546,12,0
19418,12,0
21156,12,0
22020,12,0
21132,12,0
15674,12,0
21122,12,0
22039,0,2
15962,12,0
12191,12,0
18908,12,0
20524,12,0
19621,12,0
21175,12,0
21797,0,2
19374,0,2
22006,12,0
19599,12,0
18882,12,0
22067,12,0
21161,12,0
18950,12,0
19416,12,0
21203,12,0
21989,12,0
22067,12,0
21182,12,0
22066,12,0
22014,12,0
18936,12,0
15641,12,0
20001,12,0
18386,12,0
19787,12,0
22043,12,0
19405,0,2
21092,12,0
22056,12,0
21176,12,0
18819,12,0
18880,12,0
19357,0,2
19752,12,0
21228,12,0
18933,12,0
21793,12,0
22021,0,2
21978,12,0
22028,12,0
22050,12,0
18929,12,0
22046,12,0
18894,12,0
13452,12,0
21235,12,0
20150,12,0
22050,12,0
21971,12,0
22032,12,0
21971,0,2
18523,12,0
18947,12,0
19002,12,0
21751,0,2
21978,12,0
18916,12,0
16330,12,0
21979,12,0
22044,0,2
22055,12,0
19576,12,0
18937,12,0
21089,12,0
22020,12,0
15661,12,0
18851,12,0
22018,0,2
21097,12,0
20146,12,0
21152,12,0
19468,12,0
22031,12,0
22034,12,0
21947,12,0
21253,12,0
21999,0,2
22008,12,0
21178,12,0
22004,12,0
22052,12,0
21150,12,0
20585,12,0
22044,12,0
21796,12,0
22036,12,0
19415,12,0
20193,12,0
20187,12,0
18908,12,0
21244,12,0
22030,12,0
21194,12,0
11262,12,0
22074,12,0
19755,12,0
18906,12,0
18555,12,0
18897,12,0
21136,12,0
21971,12,0
19314,12,0
19355,12,0
18917,12,0
22049,12,0
20055,12,0
22073,12,0
18978,12,0
15672,12,0
18918,12,0
19611,12,0
21739,0,2
22077,12,0
21967,12,0
22048,12,0
21244,12,0
22037,0,2
17628,12,0
19003,12,0
21978,12,0
18865,12,0
20368,12,0
20544,12,0
17546,12,0
20387,12,0
20463,12,0
18849,12,0
19319,0,2
18983,12,0
19378,0,2
18519,12,0
18993,12,0
21153,12,0
19291,0,2
18862,12,0
18908,12,0
22015,12,0
18907,12,0
21236,12,0
20287,12,0
22058,0,2
19388,0,2
21984,12,0
21989,12,0
11781,12,0
22042,12,0
22018,12,0
22057,0,2
21717,12,0
22010,12,0
21710,12,0
19621,12,0
20522,12,0
19378,0,2
22033,12,0
21066,12,0
18890,12,0
20171,12,0
16052,12,0
19417,0,2
21185,12,0
19485,12,0
9270,12,0
19620,12,0
22061,0,2
16211,12,0
20233,12,0
22048,12,0
22054,12,0
22018,12,0
22030,12,0
18907,12,0
21085,12,0
18922,12,0
19644,12,0
19298,12,0
20349,12,0
20194,12,0
12839,12,0
19978,12,0
22008,0,2
21139,12,0
22007,12,0
16234,12,0
15867,12,0
21158,12,0
20129,12,0
21110,12,0
6578,12,0
19882,12,0
21241,12,0
20294,12,0
20019,12,0
22003,0,2
21788,0,2
19379,12,0
6460,12,0
20546,12,0
22038,12,0
22033,0,2
19432,12,0
18877,12,0
18858,12,0
22041,0,2
19390,0,2
20057,12,0
21085,12,0
21981,0,2
22016,12,0
22015,12,0
21999,12,0
21984,12,0
20547,12,0
19950,12,0
21796,12,0
18524,12,0
21168,12,0
19394,0,2
22036,12,0
21123,12,0
20307,12,0
21254,12,0
20473,12,0
21154,12,0
22016,0,2
19420,0,2
19385,0,2
20232,12,0
21995,12,0
19370,0,2
22052,12,0
20330,12,0
22045,12,0
21966,0,2
21155,12,0
21939,12,0
21179,12,0
15839,12,0
21748,12,0
22044,0,2
19286,12,0
19673,12,0
21724,12,0
19295,12,0
22024,12,0
21746,12,0
18990,12,0
19440,0,2
18914,12,0
22009,0,2
18356,12,0
21765,12,0
22018,12,0
19393,0,2
21171,12,0
21952,12,0
18827,12,0
18833,12,0
12812,12,0
13255,12,0
21703,12,0
18814,12,0
19387,0,2
15654,12,0
20215,12,0
19414,0,2
21236,12,0
21798,0,2
21247,12,0
21997,12,0
19318,12,0
19425,0,2
21097,12,0
18881,12,0
18966,12,0
11508,12,0
18960,12,0
21801,0,2
22056,0,2
20299,12,0
21968,12,0
21934,12,0
21778,0,2
21797,12,0
18961,12,0
18541,12,0
18929,12,0
18906,12,0
19423,12,0
12965,12,0
19587,12,0
20171,12,0
18911,12,0
22048,12,0
18833,12,0
21945,0,2
22016,12,0
18925,12,0
21099,12,0
22021,12,0
21792,12,0
18223,12,0
21804,0,2
22010,0,2
20292,12,0
11414,12,0
18931,12,0
20097,12,0
19387,0,2
18869,12,0
19258,0,2
18874,12,0
18979,12,0
19332,12,0
18993,12,0
22075,12,0
18457,12,0
16170,12,0
15957,12,0
20413,12,0
21971,12,0
22047,12,0
18968,12,0
20041,12,0
22057,12,0
19375,0,2
18967,12,0
22036,12,0
19314,12,0
19281,0,2
18889,12,0
18834,12,0
19342,0,2
18965,12,0
18919,12,0
20439,12,0
18057,12,0
18443,12,0
21194,12,0
22021,12,0
18880,12,0
18918,12,0
15997,12,0
21961,12,0
22022,12,0
21166,12,0
18528,12,0
22040,0,2
21784,12,0
19351,0,2
22031,12,0
21183,12,0
21115,12,0
16160,12,0
15789,12,0
18987,12,0
13244,12,0
19354,0,2
21970,0,2
19344,0,2
20361,12,0
19268,12,0
20030,12,0
18975,12,0
21086,12,0
21197,12,0
22070,12,0
18977,12,0
19575,12,0
22034,12,0
6981,12,0
22062,12,0
21769,12,0
21163,12,0
22058,12,0
19283,0,2
19329,0,2
20118,12,0
19345,0,2
16589,12,0
20303,12,0
20567,12,0
21958,12,0
21973,12,0
15941,12,0
21987,12,0
21092,12,0
20265,12,0
21105,12,0
22007,12,0
18897,12,0
15692,12,0
16054,12,0
17146,12,0
19275,12,0
21692,12,0
18833,12,0
20401,12,0
18817,12,0
16601,12,0
21220,12,0
21996,12,0
19409,12,0
18883,12,0
19277,12,0
20602,12,0
16246,12,0
18853,12,0
21945,12,0
15927,12,0
20553,12,0
21743,0,2
18843,12,0
18889,12,0
13073,12,0
19759,12,0
21971,12,0
21706,12,0
21242,12,0
19282,0,2
20149,12,0
19315,0,2
20507,12,0
15984,12,0
18900,12,0
21968,12,0
19006,12,0
21979,0,2
21703,12,0
11524,12,0
21949,12,0
15601,12,0
21984,12,0
21956,12,0
19580,12,0
18837,12,0
12911,12,0
21997,12,0
15594,12,0
13372,12,0
21978,12,0
19307,12,0
18233,12,0
21103,12,0
20133,12,0
19244,12,0
17833,12,0
12665,12,0
21926,0,2
21968,12,0
21948,0,2
19271,0,2
22005,0,2
21127,12,0
21933,12,0
21964,12,0
19317,0,2
21984,12,0
15821,12,0
19326,0,2
21157,12,0
9243,12,0
12197,12,0
21166,12,0
18311,12,0
21090,12,0
22087,0,2
19741,12,0
21916,0,2
21149,12,0
11980,12,0
21732,12,0
19680,12,0
21155,12,0
18443,12,0
20535,12,0
18866,12,0
18995,12,0
17967,12,0
18900,12,0
19383,0,2
21968,12,0
21143,12,0
19916,0,2
21692,12,0
20040,12,0
22010,12,0
16243,12,0
21986,12,0
9069,12,0
19558,12,0
19606,12,0
21191,12,0
19272,0,2
17276,12,0
22061,12,0
21709,12,0
19663,12,0
21761,12,0
20426,12,0
19340,0,2
13171,12,0
21968,12,0
19674,12,0
13412,12,0
21149,12,0
20200,12,0
20204,12,0
22052,12,0
21963,12,0
22055,12,0
19349,12,0
19440,0,2
22067,12,0
19671,12,0
21143,12,0
19381,12,0
20028,12,0
21702,0,2
18945,12,0
6674,12,0
11825,12,0
19329,0,2
22069,12,0
18908,12,0
6949,12,0
18039,12,0
13002,12,0
21996,12,0
22064,12,0
18988,12,0
22055,12,0
18973,12,0
22030,0,2
16469,12,0
21163,12,0
20371,12,0
